Vocab size: 8,192
Model config: {'sequence_len': 256, 'vocab_size': 8192, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 128, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 786,560
  scalars                 : 8
  total                   : 4,980,872
Estimated FLOPs per token: 1.258368e+07
Scaling AdamW LRs by 1/sqrt(128/768) = 2.449490
Time budget: 300s
Gradient accumulation steps: 4

step 00000 (0.0%) | loss: 9.010471 | lrm: 1.00 | dt: 1321ms | tok/sec: 774 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.998067 | lrm: 1.00 | dt: 322ms | tok/sec: 3,175 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.988274 | lrm: 1.00 | dt: 230ms | tok/sec: 4,447 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.960670 | lrm: 1.00 | dt: 305ms | tok/sec: 3,359 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.954554 | lrm: 1.00 | dt: 211ms | tok/sec: 4,855 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.930305 | lrm: 1.00 | dt: 213ms | tok/sec: 4,799 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.912469 | lrm: 1.00 | dt: 215ms | tok/sec: 4,764 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.880452 | lrm: 1.00 | dt: 220ms | tok/sec: 4,647 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.846820 | lrm: 1.00 | dt: 215ms | tok/sec: 4,763 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.783105 | lrm: 1.00 | dt: 252ms | tok/sec: 4,067 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 8.657984 | lrm: 1.00 | dt: 227ms | tok/sec: 4,519 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.555706 | lrm: 1.00 | dt: 215ms | tok/sec: 4,758 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 8.449858 | lrm: 1.00 | dt: 224ms | tok/sec: 4,563 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00013 (0.1%) | loss: 8.379375 | lrm: 1.00 | dt: 242ms | tok/sec: 4,228 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00316 (23.5%) | loss: 6.078855 | lrm: 1.00 | dt: 239ms | tok/sec: 4,291 | mfu: 0.0% | epoch: 1 | remaining: 229s    
step 00317 (23.6%) | loss: 6.070150 | lrm: 1.00 | dt: 282ms | tok/sec: 3,635 | mfu: 0.0% | epoch: 1 | remaining: 229s    
step 00318 (23.7%) | loss: 6.097728 | lrm: 1.00 | dt: 229ms | tok/sec: 4,475 | mfu: 0.0% | epoch: 1 | remaining: 229s    
step 00319 (23.8%) | loss: 6.142084 | lrm: 1.00 | dt: 238ms | tok/sec: 4,303 | mfu: 0.0% | epoch: 1 | remaining: 228s    
step 00320 (23.8%) | loss: 6.141273 | lrm: 1.00 | dt: 252ms | tok/sec: 4,068 | mfu: 0.0% | epoch: 1 | remaining: 228s    
step 00321 (23.9%) | loss: 6.148712 | lrm: 1.00 | dt: 264ms | tok/sec: 3,877 | mfu: 0.0% | epoch: 1 | remaining: 228s    
step 00322 (24.0%) | loss: 6.171555 | lrm: 1.00 | dt: 230ms | tok/sec: 4,456 | mfu: 0.0% | epoch: 1 | remaining: 228s    
step 00323 (24.1%) | loss: 6.211704 | lrm: 1.00 | dt: 260ms | tok/sec: 3,938 | mfu: 0.0% | epoch: 1 | remaining: 227s    
step 00324 (24.2%) | loss: 6.160376 | lrm: 1.00 | dt: 268ms | tok/sec: 3,821 | mfu: 0.0% | epoch: 1 | remaining: 227s    
step 00325 (24.3%) | loss: 6.117602 | lrm: 1.00 | dt: 239ms | tok/sec: 4,287 | mfu: 0.0% | epoch: 1 | remaining: 227s    
step 00326 (24.3%) | loss: 6.146043 | lrm: 1.00 | dt: 277ms | tok/sec: 3,692 | mfu: 0.0% | epoch: 1 | remaining: 227s    
step 00327 (24.4%) | loss: 6.063610 | lrm: 1.00 | dt: 265ms | tok/sec: 3,864 | mfu: 0.0% | epoch: 1 | remaining: 226s    
step 00328 (24.5%) | loss: 6.095163 | lrm: 1.00 | dt: 236ms | tok/sec: 4,339 | mfu: 0.0% | epoch: 1 | remaining: 226s    
step 00329 (24.6%) | loss: 6.069252 | lrm: 1.00 | dt: 250ms | tok/sec: 4,103 | mfu: 0.0% | epoch: 1 | remaining: 226s    
step 00330 (24.7%) | loss: 6.065619 | lrm: 1.00 | dt: 265ms | tok/sec: 3,863 | mfu: 0.0% | epoch: 1 | remaining: 226s    
step 00331 (24.8%) | loss: 6.085295 | lrm: 1.00 | dt: 229ms | tok/sec: 4,467 | mfu: 0.0% | epoch: 1 | remaining: 225s    
step 00332 (24.9%) | loss: 6.018294 | lrm: 1.00 | dt: 284ms | tok/sec: 3,602 | mfu: 0.0% | epoch: 1 | remaining: 225s    
step 00333 (24.9%) | loss: 6.020089 | lrm: 1.00 | dt: 244ms | tok/sec: 4,197 | mfu: 0.0% | epoch: 1 | remaining: 225s    
step 00334 (25.0%) | loss: 6.041444 | lrm: 1.00 | dt: 209ms | tok/sec: 4,891 | mfu: 0.0% | epoch: 1 | remaining: 225s    
step 00335 (25.1%) | loss: 6.019289 | lrm: 1.00 | dt: 260ms | tok/sec: 3,932 | mfu: 0.0% | epoch: 1 | remaining: 224s    
step 00336 (25.2%) | loss: 6.016587 | lrm: 1.00 | dt: 220ms | tok/sec: 4,645 | mfu: 0.0% | epoch: 1 | remaining: 224s    
step 00337 (25.3%) | loss: 6.039123 | lrm: 1.00 | dt: 279ms | tok/sec: 3,674 | mfu: 0.0% | epoch: 1 | remaining: 224s    
step 00338 (25.4%) | loss: 5.969237 | lrm: 1.00 | dt: 272ms | tok/sec: 3,767 | mfu: 0.0% | epoch: 1 | remaining: 224s    
step 00339 (25.4%) | loss: 5.938855 | lrm: 1.00 | dt: 279ms | tok/sec: 3,673 | mfu: 0.0% | epoch: 1 | remaining: 223s    
step 00340 (25.5%) | loss: 5.934864 | lrm: 1.00 | dt: 270ms | tok/sec: 3,796 | mfu: 0.0% | epoch: 1 | remaining: 223s    
step 00341 (25.6%) | loss: 5.920978 | lrm: 1.00 | dt: 258ms | tok/sec: 3,963 | mfu: 0.0% | epoch: 1 | remaining: 223s    
step 00342 (25.7%) | loss: 5.924298 | lrm: 1.00 | dt: 278ms | tok/sec: 3,683 | mfu: 0.0% | epoch: 1 | remaining: 223s    
step 00343 (25.8%) | loss: 5.992693 | lrm: 1.00 | dt: 255ms | tok/sec: 4,022 | mfu: 0.0% | epoch: 1 | remaining: 222s    
step 00344 (25.9%) | loss: 6.027443 | lrm: 1.00 | dt: 274ms | tok/sec: 3,730 | mfu: 0.0% | epoch: 1 | remaining: 222s    
step 00345 (26.0%) | loss: 6.072369 | lrm: 1.00 | dt: 233ms | tok/sec: 4,396 | mfu: 0.0% | epoch: 1 | remaining: 222s    
step 00346 (26.1%) | loss: 6.086906 | lrm: 1.00 | dt: 281ms | tok/sec: 3,647 | mfu: 0.0% | epoch: 1 | remaining: 222s    
step 00347 (26.2%) | loss: 6.081187 | lrm: 1.00 | dt: 213ms | tok/sec: 4,807 | mfu: 0.0% | epoch: 1 | remaining: 221s    
step 00348 (26.2%) | loss: 6.100830 | lrm: 1.00 | dt: 251ms | tok/sec: 4,082 | mfu: 0.0% | epoch: 1 | remaining: 221s    
step 00349 (26.3%) | loss: 6.112339 | lrm: 1.00 | dt: 258ms | tok/sec: 3,975 | mfu: 0.0% | epoch: 1 | remaining: 221s    
step 00350 (26.4%) | loss: 6.141873 | lrm: 1.00 | dt: 229ms | tok/sec: 4,462 | mfu: 0.0% | epoch: 1 | remaining: 221s    
step 00351 (26.5%) | loss: 6.160504 | lrm: 1.00 | dt: 224ms | tok/sec: 4,565 | mfu: 0.0% | epoch: 1 | remaining: 220s    
step 00352 (26.5%) | loss: 6.135220 | lrm: 1.00 | dt: 224ms | tok/sec: 4,566 | mfu: 0.0% | epoch: 1 | remaining: 220s    
step 00353 (26.6%) | loss: 6.088748 | lrm: 1.00 | dt: 215ms | tok/sec: 4,773 | mfu: 0.0% | epoch: 1 | remaining: 220s    
step 00354 (26.7%) | loss: 6.068189 | lrm: 1.00 | dt: 230ms | tok/sec: 4,453 | mfu: 0.0% | epoch: 1 | remaining: 220s    
step 00355 (26.8%) | loss: 6.072403 | lrm: 1.00 | dt: 207ms | tok/sec: 4,949 | mfu: 0.0% | epoch: 1 | remaining: 219s    
step 00356 (26.8%) | loss: 6.127455 | lrm: 1.00 | dt: 211ms | tok/sec: 4,857 | mfu: 0.0% | epoch: 1 | remaining: 219s    
step 00357 (26.9%) | loss: 6.135183 | lrm: 1.00 | dt: 257ms | tok/sec: 3,981 | mfu: 0.0% | epoch: 1 | remaining: 219s    
step 00358 (27.0%) | loss: 6.103157 | lrm: 1.00 | dt: 259ms | tok/sec: 3,947 | mfu: 0.0% | epoch: 1 | remaining: 219s    
step 00359 (27.1%) | loss: 6.068341 | lrm: 1.00 | dt: 284ms | tok/sec: 3,609 | mfu: 0.0% | epoch: 1 | remaining: 218s    
step 00360 (27.2%) | loss: 6.039423 | lrm: 1.00 | dt: 273ms | tok/sec: 3,750 | mfu: 0.0% | epoch: 1 | remaining: 218s    
step 00361 (27.3%) | loss: 6.074788 | lrm: 1.00 | dt: 286ms | tok/sec: 3,577 | mfu: 0.0% | epoch: 1 | remaining: 218s    
step 00362 (27.4%) | loss: 6.102760 | lrm: 1.00 | dt: 244ms | tok/sec: 4,199 | mfu: 0.0% | epoch: 1 | remaining: 218s    
step 00363 (27.4%) | loss: 6.143319 | lrm: 1.00 | dt: 211ms | tok/sec: 4,848 | mfu: 0.0% | epoch: 1 | remaining: 217s    
step 00364 (27.5%) | loss: 6.128803 | lrm: 1.00 | dt: 221ms | tok/sec: 4,624 | mfu: 0.0% | epoch: 1 | remaining: 217s    
step 00365 (27.6%) | loss: 6.146480 | lrm: 1.00 | dt: 216ms | tok/sec: 4,745 | mfu: 0.0% | epoch: 1 | remaining: 217s    
step 00366 (27.7%) | loss: 6.089491 | lrm: 1.00 | dt: 210ms | tok/sec: 4,885 | mfu: 0.0% | epoch: 1 | remaining: 217s    
step 00367 (27.7%) | loss: 6.057421 | lrm: 1.00 | dt: 208ms | tok/sec: 4,916 | mfu: 0.0% | epoch: 1 | remaining: 217s    
step 00368 (27.8%) | loss: 6.077070 | lrm: 1.00 | dt: 209ms | tok/sec: 4,892 | mfu: 0.0% | epoch: 1 | remaining: 216s    
step 00369 (27.9%) | loss: 6.082049 | lrm: 1.00 | dt: 231ms | tok/sec: 4,442 | mfu: 0.0% | epoch: 1 | remaining: 216s    
step 00370 (27.9%) | loss: 6.104826 | lrm: 1.00 | dt: 232ms | tok/sec: 4,409 | mfu: 0.0% | epoch: 1 | remaining: 216s    
step 00371 (28.0%) | loss: 6.072180 | lrm: 1.00 | dt: 240ms | tok/sec: 4,263 | mfu: 0.0% | epoch: 1 | remaining: 216s    
step 00372 (28.1%) | loss: 6.066738 | lrm: 1.00 | dt: 213ms | tok/sec: 4,801 | mfu: 0.0% | epoch: 1 | remaining: 215s    
step 00373 (28.2%) | loss: 6.084197 | lrm: 1.00 | dt: 211ms | tok/sec: 4,858 | mfu: 0.0% | epoch: 1 | remaining: 215s    
step 00374 (28.2%) | loss: 6.064202 | lrm: 1.00 | dt: 211ms | tok/sec: 4,846 | mfu: 0.0% | epoch: 1 | remaining: 215s    
step 00375 (28.3%) | loss: 6.052605 | lrm: 1.00 | dt: 221ms | tok/sec: 4,640 | mfu: 0.0% | epoch: 1 | remaining: 215s    
step 00376 (28.4%) | loss: 6.062061 | lrm: 1.00 | dt: 216ms | tok/sec: 4,744 | mfu: 0.0% | epoch: 1 | remaining: 215s    
step 00377 (28.5%) | loss: 6.090794 | lrm: 1.00 | dt: 216ms | tok/sec: 4,739 | mfu: 0.0% | epoch: 1 | remaining: 214s    
step 00378 (28.5%) | loss: 6.052957 | lrm: 1.00 | dt: 239ms | tok/sec: 4,276 | mfu: 0.0% | epoch: 1 | remaining: 214s    
step 00379 (28.6%) | loss: 6.051996 | lrm: 1.00 | dt: 216ms | tok/sec: 4,733 | mfu: 0.0% | epoch: 1 | remaining: 214s    
step 00380 (28.7%) | loss: 6.066428 | lrm: 1.00 | dt: 216ms | tok/sec: 4,745 | mfu: 0.0% | epoch: 1 | remaining: 214s    
step 00381 (28.8%) | loss: 6.086163 | lrm: 1.00 | dt: 217ms | tok/sec: 4,723 | mfu: 0.0% | epoch: 1 | remaining: 214s    
step 00382 (28.8%) | loss: 6.096379 | lrm: 1.00 | dt: 227ms | tok/sec: 4,513 | mfu: 0.0% | epoch: 1 | remaining: 213s    
step 00383 (28.9%) | loss: 6.060549 | lrm: 1.00 | dt: 216ms | tok/sec: 4,739 | mfu: 0.0% | epoch: 1 | remaining: 213s    
step 00384 (29.0%) | loss: 6.038444 | lrm: 1.00 | dt: 223ms | tok/sec: 4,598 | mfu: 0.0% | epoch: 1 | remaining: 213s    
step 00385 (29.0%) | loss: 6.072088 | lrm: 1.00 | dt: 231ms | tok/sec: 4,436 | mfu: 0.0% | epoch: 1 | remaining: 213s    
step 00386 (29.1%) | loss: 6.080034 | lrm: 1.00 | dt: 209ms | tok/sec: 4,895 | mfu: 0.0% | epoch: 1 | remaining: 212s    
step 00387 (29.2%) | loss: 6.021536 | lrm: 1.00 | dt: 207ms | tok/sec: 4,942 | mfu: 0.0% | epoch: 1 | remaining: 212s    
step 00388 (29.3%) | loss: 6.014596 | lrm: 1.00 | dt: 239ms | tok/sec: 4,290 | mfu: 0.0% | epoch: 1 | remaining: 212s    
step 00389 (29.3%) | loss: 6.025302 | lrm: 1.00 | dt: 238ms | tok/sec: 4,307 | mfu: 0.0% | epoch: 1 | remaining: 212s    
step 00390 (29.4%) | loss: 6.079667 | lrm: 1.00 | dt: 216ms | tok/sec: 4,751 | mfu: 0.0% | epoch: 1 | remaining: 212s    
step 00391 (29.5%) | loss: 6.044415 | lrm: 1.00 | dt: 217ms | tok/sec: 4,712 | mfu: 0.0% | epoch: 1 | remaining: 211s    
step 00392 (29.6%) | loss: 6.042387 | lrm: 1.00 | dt: 227ms | tok/sec: 4,518 | mfu: 0.0% | epoch: 1 | remaining: 211s    
step 00393 (29.6%) | loss: 6.042952 | lrm: 1.00 | dt: 222ms | tok/sec: 4,621 | mfu: 0.0% | epoch: 1 | remaining: 211s    
step 00394 (29.7%) | loss: 6.021201 | lrm: 1.00 | dt: 227ms | tok/sec: 4,513 | mfu: 0.0% | epoch: 1 | remaining: 211s    
step 00395 (29.8%) | loss: 6.007421 | lrm: 1.00 | dt: 205ms | tok/sec: 4,994 | mfu: 0.0% | epoch: 1 | remaining: 210s    
step 00396 (29.9%) | loss: 6.035766 | lrm: 1.00 | dt: 230ms | tok/sec: 4,446 | mfu: 0.0% | epoch: 1 | remaining: 210s    
step 00397 (29.9%) | loss: 6.018847 | lrm: 1.00 | dt: 223ms | tok/sec: 4,598 | mfu: 0.0% | epoch: 1 | remaining: 210s    
step 00398 (30.0%) | loss: 5.985871 | lrm: 1.00 | dt: 244ms | tok/sec: 4,197 | mfu: 0.0% | epoch: 1 | remaining: 210s    
step 00399 (30.1%) | loss: 5.925666 | lrm: 1.00 | dt: 235ms | tok/sec: 4,366 | mfu: 0.0% | epoch: 1 | remaining: 209s    
step 00400 (30.2%) | loss: 5.993698 | lrm: 1.00 | dt: 278ms | tok/sec: 3,682 | mfu: 0.0% | epoch: 1 | remaining: 209s    
step 00401 (30.3%) | loss: 6.025254 | lrm: 1.00 | dt: 216ms | tok/sec: 4,735 | mfu: 0.0% | epoch: 1 | remaining: 209s    
step 00402 (30.3%) | loss: 6.045542 | lrm: 1.00 | dt: 222ms | tok/sec: 4,607 | mfu: 0.0% | epoch: 1 | remaining: 209s    
step 00403 (30.4%) | loss: 6.088378 | lrm: 1.00 | dt: 234ms | tok/sec: 4,367 | mfu: 0.0% | epoch: 1 | remaining: 209s    
step 00404 (30.5%) | loss: 6.121600 | lrm: 1.00 | dt: 253ms | tok/sec: 4,051 | mfu: 0.0% | epoch: 1 | remaining: 208s    
step 00405 (30.6%) | loss: 6.157006 | lrm: 1.00 | dt: 257ms | tok/sec: 3,976 | mfu: 0.0% | epoch: 1 | remaining: 208s    
step 00406 (30.7%) | loss: 6.188743 | lrm: 1.00 | dt: 249ms | tok/sec: 4,113 | mfu: 0.0% | epoch: 1 | remaining: 208s    
step 00407 (30.7%) | loss: 6.152863 | lrm: 1.00 | dt: 212ms | tok/sec: 4,820 | mfu: 0.0% | epoch: 1 | remaining: 208s    
step 00408 (30.8%) | loss: 6.160739 | lrm: 1.00 | dt: 216ms | tok/sec: 4,747 | mfu: 0.0% | epoch: 1 | remaining: 207s    
step 00409 (30.9%) | loss: 6.208108 | lrm: 1.00 | dt: 226ms | tok/sec: 4,537 | mfu: 0.0% | epoch: 1 | remaining: 207s    
step 00410 (31.0%) | loss: 6.164639 | lrm: 1.00 | dt: 237ms | tok/sec: 4,321 | mfu: 0.0% | epoch: 1 | remaining: 207s    
step 00411 (31.0%) | loss: 6.209933 | lrm: 1.00 | dt: 224ms | tok/sec: 4,578 | mfu: 0.0% | epoch: 1 | remaining: 207s    
step 00412 (31.1%) | loss: 6.172290 | lrm: 1.00 | dt: 200ms | tok/sec: 5,117 | mfu: 0.0% | epoch: 1 | remaining: 206s    
step 00413 (31.2%) | loss: 6.183120 | lrm: 1.00 | dt: 213ms | tok/sec: 4,812 | mfu: 0.0% | epoch: 1 | remaining: 206s    
step 00414 (31.2%) | loss: 6.204561 | lrm: 1.00 | dt: 204ms | tok/sec: 5,014 | mfu: 0.0% | epoch: 1 | remaining: 206s    
step 00415 (31.3%) | loss: 6.200799 | lrm: 1.00 | dt: 238ms | tok/sec: 4,298 | mfu: 0.0% | epoch: 1 | remaining: 206s    
step 00416 (31.4%) | loss: 6.203550 | lrm: 1.00 | dt: 229ms | tok/sec: 4,475 | mfu: 0.0% | epoch: 1 | remaining: 206s    
step 00417 (31.5%) | loss: 6.158242 | lrm: 1.00 | dt: 211ms | tok/sec: 4,845 | mfu: 0.0% | epoch: 1 | remaining: 205s    
step 00418 (31.5%) | loss: 6.112960 | lrm: 1.00 | dt: 238ms | tok/sec: 4,295 | mfu: 0.0% | epoch: 1 | remaining: 205s    
step 00419 (31.6%) | loss: 6.095884 | lrm: 1.00 | dt: 210ms | tok/sec: 4,883 | mfu: 0.0% | epoch: 1 | remaining: 205s    
step 00420 (31.7%) | loss: 6.120542 | lrm: 1.00 | dt: 211ms | tok/sec: 4,852 | mfu: 0.0% | epoch: 1 | remaining: 205s    
step 00421 (31.8%) | loss: 6.135528 | lrm: 1.00 | dt: 214ms | tok/sec: 4,795 | mfu: 0.0% | epoch: 1 | remaining: 205s    
step 00422 (31.8%) | loss: 6.139101 | lrm: 1.00 | dt: 228ms | tok/sec: 4,483 | mfu: 0.0% | epoch: 1 | remaining: 204s    
step 00423 (31.9%) | loss: 6.106468 | lrm: 1.00 | dt: 211ms | tok/sec: 4,846 | mfu: 0.0% | epoch: 1 | remaining: 204s    
step 00424 (32.0%) | loss: 6.080303 | lrm: 1.00 | dt: 219ms | tok/sec: 4,684 | mfu: 0.0% | epoch: 1 | remaining: 204s    
step 00425 (32.1%) | loss: 6.077540 | lrm: 1.00 | dt: 210ms | tok/sec: 4,877 | mfu: 0.0% | epoch: 1 | remaining: 204s    
step 00426 (32.1%) | loss: 6.124186 | lrm: 1.00 | dt: 218ms | tok/sec: 4,691 | mfu: 0.0% | epoch: 1 | remaining: 203s    
step 00427 (32.2%) | loss: 6.107782 | lrm: 1.00 | dt: 222ms | tok/sec: 4,616 | mfu: 0.0% | epoch: 1 | remaining: 203s    
step 00428 (32.3%) | loss: 6.099274 | lrm: 1.00 | dt: 291ms | tok/sec: 3,518 | mfu: 0.0% | epoch: 1 | remaining: 203s    
step 00429 (32.4%) | loss: 6.102120 | lrm: 1.00 | dt: 213ms | tok/sec: 4,801 | mfu: 0.0% | epoch: 1 | remaining: 203s    
step 00430 (32.4%) | loss: 6.103857 | lrm: 1.00 | dt: 210ms | tok/sec: 4,883 | mfu: 0.0% | epoch: 1 | remaining: 202s    
step 00431 (32.5%) | loss: 6.104504 | lrm: 1.00 | dt: 210ms | tok/sec: 4,886 | mfu: 0.0% | epoch: 1 | remaining: 202s    
step 00432 (32.6%) | loss: 6.056576 | lrm: 1.00 | dt: 220ms | tok/sec: 4,653 | mfu: 0.0% | epoch: 1 | remaining: 202s    
step 00433 (32.7%) | loss: 6.082708 | lrm: 1.00 | dt: 218ms | tok/sec: 4,692 | mfu: 0.0% | epoch: 1 | remaining: 202s    
step 00434 (32.7%) | loss: 6.087401 | lrm: 1.00 | dt: 221ms | tok/sec: 4,634 | mfu: 0.0% | epoch: 1 | remaining: 202s    
step 00435 (32.8%) | loss: 6.103670 | lrm: 1.00 | dt: 216ms | tok/sec: 4,734 | mfu: 0.0% | epoch: 1 | remaining: 201s    
step 00436 (32.9%) | loss: 6.089755 | lrm: 1.00 | dt: 232ms | tok/sec: 4,420 | mfu: 0.0% | epoch: 1 | remaining: 201s    
step 00437 (32.9%) | loss: 6.064877 | lrm: 1.00 | dt: 214ms | tok/sec: 4,774 | mfu: 0.0% | epoch: 1 | remaining: 201s    
step 00438 (33.0%) | loss: 6.028373 | lrm: 1.00 | dt: 248ms | tok/sec: 4,126 | mfu: 0.0% | epoch: 1 | remaining: 201s    
step 00439 (33.1%) | loss: 6.023260 | lrm: 1.00 | dt: 227ms | tok/sec: 4,516 | mfu: 0.0% | epoch: 1 | remaining: 200s    
step 00440 (33.2%) | loss: 6.103915 | lrm: 1.00 | dt: 274ms | tok/sec: 3,737 | mfu: 0.0% | epoch: 1 | remaining: 200s    
step 00441 (33.3%) | loss: 6.053952 | lrm: 1.00 | dt: 263ms | tok/sec: 3,898 | mfu: 0.0% | epoch: 1 | remaining: 200s    
step 00442 (33.4%) | loss: 6.022419 | lrm: 1.00 | dt: 270ms | tok/sec: 3,797 | mfu: 0.0% | epoch: 1 | remaining: 200s    
step 00443 (33.4%) | loss: 5.970002 | lrm: 1.00 | dt: 235ms | tok/sec: 4,354 | mfu: 0.0% | epoch: 1 | remaining: 199s    
step 00444 (33.5%) | loss: 5.948091 | lrm: 1.00 | dt: 263ms | tok/sec: 3,892 | mfu: 0.0% | epoch: 1 | remaining: 199s    
step 00445 (33.6%) | loss: 5.926373 | lrm: 1.00 | dt: 295ms | tok/sec: 3,476 | mfu: 0.0% | epoch: 1 | remaining: 199s    
step 00446 (33.7%) | loss: 5.975317 | lrm: 1.00 | dt: 279ms | tok/sec: 3,667 | mfu: 0.0% | epoch: 1 | remaining: 199s    
step 00447 (33.8%) | loss: 5.989693 | lrm: 1.00 | dt: 276ms | tok/sec: 3,716 | mfu: 0.0% | epoch: 1 | remaining: 198s    
step 00448 (33.9%) | loss: 5.974862 | lrm: 1.00 | dt: 227ms | tok/sec: 4,516 | mfu: 0.0% | epoch: 1 | remaining: 198s    
step 00449 (34.0%) | loss: 5.938355 | lrm: 1.00 | dt: 274ms | tok/sec: 3,743 | mfu: 0.0% | epoch: 1 | remaining: 198s    
step 00450 (34.1%) | loss: 5.991418 | lrm: 1.00 | dt: 292ms | tok/sec: 3,509 | mfu: 0.0% | epoch: 1 | remaining: 198s    
step 00451 (34.2%) | loss: 6.029527 | lrm: 1.00 | dt: 251ms | tok/sec: 4,076 | mfu: 0.0% | epoch: 1 | remaining: 197s    
step 00452 (34.2%) | loss: 6.024155 | lrm: 1.00 | dt: 196ms | tok/sec: 5,212 | mfu: 0.0% | epoch: 1 | remaining: 197s    
step 00453 (34.3%) | loss: 6.094138 | lrm: 1.00 | dt: 210ms | tok/sec: 4,868 | mfu: 0.0% | epoch: 1 | remaining: 197s    
step 00454 (34.4%) | loss: 6.157846 | lrm: 1.00 | dt: 209ms | tok/sec: 4,896 | mfu: 0.0% | epoch: 1 | remaining: 197s    
step 00455 (34.4%) | loss: 6.157964 | lrm: 1.00 | dt: 219ms | tok/sec: 4,672 | mfu: 0.0% | epoch: 1 | remaining: 196s    
step 00456 (34.5%) | loss: 6.176068 | lrm: 1.00 | dt: 245ms | tok/sec: 4,178 | mfu: 0.0% | epoch: 1 | remaining: 196s    
step 00457 (34.6%) | loss: 6.133275 | lrm: 1.00 | dt: 241ms | tok/sec: 4,242 | mfu: 0.0% | epoch: 1 | remaining: 196s    
step 00458 (34.7%) | loss: 6.100686 | lrm: 1.00 | dt: 271ms | tok/sec: 3,775 | mfu: 0.0% | epoch: 1 | remaining: 196s    
step 00459 (34.8%) | loss: 6.096030 | lrm: 1.00 | dt: 245ms | tok/sec: 4,182 | mfu: 0.0% | epoch: 1 | remaining: 195s    
step 00460 (34.9%) | loss: 6.127494 | lrm: 1.00 | dt: 236ms | tok/sec: 4,331 | mfu: 0.0% | epoch: 1 | remaining: 195s    
step 00461 (34.9%) | loss: 6.132537 | lrm: 1.00 | dt: 285ms | tok/sec: 3,598 | mfu: 0.0% | epoch: 1 | remaining: 195s    
step 00462 (35.0%) | loss: 6.145278 | lrm: 1.00 | dt: 263ms | tok/sec: 3,895 | mfu: 0.0% | epoch: 1 | remaining: 195s    
step 00463 (35.1%) | loss: 6.138230 | lrm: 1.00 | dt: 242ms | tok/sec: 4,229 | mfu: 0.0% | epoch: 1 | remaining: 194s    
step 00464 (35.2%) | loss: 6.126134 | lrm: 1.00 | dt: 222ms | tok/sec: 4,612 | mfu: 0.0% | epoch: 1 | remaining: 194s    
step 00465 (35.3%) | loss: 6.117295 | lrm: 1.00 | dt: 242ms | tok/sec: 4,231 | mfu: 0.0% | epoch: 1 | remaining: 194s    
step 00466 (35.4%) | loss: 6.051111 | lrm: 1.00 | dt: 273ms | tok/sec: 3,748 | mfu: 0.0% | epoch: 1 | remaining: 194s    
step 00467 (35.4%) | loss: 6.088630 | lrm: 1.00 | dt: 277ms | tok/sec: 3,694 | mfu: 0.0% | epoch: 1 | remaining: 193s    
step 00468 (35.5%) | loss: 6.071876 | lrm: 1.00 | dt: 235ms | tok/sec: 4,351 | mfu: 0.0% | epoch: 1 | remaining: 193s    
step 00469 (35.6%) | loss: 6.103019 | lrm: 1.00 | dt: 223ms | tok/sec: 4,589 | mfu: 0.0% | epoch: 1 | remaining: 193s    
step 00470 (35.7%) | loss: 6.029846 | lrm: 1.00 | dt: 216ms | tok/sec: 4,743 | mfu: 0.0% | epoch: 1 | remaining: 193s    
step 00471 (35.8%) | loss: 5.997674 | lrm: 1.00 | dt: 251ms | tok/sec: 4,081 | mfu: 0.0% | epoch: 1 | remaining: 192s    
step 00472 (35.8%) | loss: 5.966580 | lrm: 1.00 | dt: 257ms | tok/sec: 3,980 | mfu: 0.0% | epoch: 1 | remaining: 192s    
step 00473 (35.9%) | loss: 5.980059 | lrm: 1.00 | dt: 274ms | tok/sec: 3,731 | mfu: 0.0% | epoch: 1 | remaining: 192s    
step 00474 (36.0%) | loss: 5.994954 | lrm: 1.00 | dt: 259ms | tok/sec: 3,957 | mfu: 0.0% | epoch: 1 | remaining: 192s    
